,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-27,100.470001,100.82,100.32,100.529999,100.529999,0.0
2,2017-01-30,100.349998,101.019997,100.169998,100.43,100.43,0.0
3,2017-01-31,100.330002,100.510002,99.43,99.510002,99.510002,0.0
4,2017-02-01,99.559998,100.040001,99.5,99.639999,99.639999,0.0
5,2017-02-02,99.739998,99.849998,99.230003,99.849998,99.849998,0.0
6,2017-02-03,99.800003,100.260002,99.559998,99.870003,99.870003,0.0
8,2017-02-06,99.620003,100.25,99.620003,99.910004,99.910004,0.0
9,2017-02-07,99.93,100.720001,99.910004,100.260002,100.260002,0.0
10,2017-02-08,100.440002,100.639999,100.059998,100.279999,100.279999,0.0
11,2017-02-09,100.230003,100.669998,100.080002,100.650002,100.650002,0.0
12,2017-02-10,100.660004,101.010002,100.580002,100.800003,100.800003,0.0
14,2017-02-13,100.849998,101.110001,100.580002,100.959999,100.959999,0.0
15,2017-02-14,100.970001,101.379997,100.699997,101.25,101.25,0.0
16,2017-02-15,101.209999,101.760002,101.0,101.18,101.18,0.0
17,2017-02-16,101.050003,101.07,100.410004,100.440002,100.440002,0.0
18,2017-02-17,100.540001,100.959999,100.449997,100.949997,100.949997,0.0
20,2017-02-21,100.940002,101.599998,100.910004,101.370003,101.370003,0.0
21,2017-02-22,101.389999,101.720001,101.169998,101.330002,101.330002,0.0
22,2017-02-23,101.370003,101.440002,100.870003,101.050003,101.050003,0.0
23,2017-02-24,100.959999,101.169998,100.660004,101.089996,101.089996,0.0
25,2017-02-27,101.080002,101.269997,100.690002,101.129997,101.129997,0.0
26,2017-02-28,101.209999,101.389999,100.779999,101.120003,101.120003,0.0
27,2017-03-01,101.440002,101.970001,101.230003,101.779999,101.779999,0.0
28,2017-03-02,101.910004,102.260002,101.779999,102.199997,102.199997,0.0
29,2017-03-03,102.120003,102.169998,101.339996,101.540001,101.540001,0.0
31,2017-03-06,101.440002,101.75,101.220001,101.639999,101.639999,0.0
32,2017-03-07,101.68,101.910004,101.529999,101.809998,101.809998,0.0
33,2017-03-08,101.790001,102.190002,101.709999,102.07,102.07,0.0
34,2017-03-09,102.110001,102.25,101.699997,101.849998,101.849998,0.0
35,2017-03-10,102.0,102.0,101.169998,101.25,101.25,0.0
37,2017-03-13,101.279999,101.389999,101.010002,101.379997,101.379997,0.0
38,2017-03-14,101.410004,101.790001,101.339996,101.699997,101.699997,0.0
39,2017-03-15,101.720001,101.720001,100.489998,100.739998,100.739998,0.0
40,2017-03-16,100.559998,100.75,100.230003,100.269997,100.269997,0.0
41,2017-03-17,100.25,100.470001,100.139999,100.300003,100.300003,0.0
43,2017-03-20,100.339996,100.449997,100.019997,100.410004,100.410004,0.0
44,2017-03-21,100.379997,100.379997,99.660004,99.809998,99.809998,0.0
45,2017-03-22,99.690002,99.93,99.550003,99.68,99.68,0.0
46,2017-03-23,99.739998,99.870003,99.629997,99.760002,99.760002,0.0
47,2017-03-24,99.769997,100.0,99.529999,99.629997,99.629997,0.0
49,2017-03-27,99.43,99.43,98.860001,99.169998,99.169998,0.0
50,2017-03-28,99.220001,99.790001,99.120003,99.709999,99.709999,0.0
51,2017-03-29,99.709999,100.129997,99.669998,100.0,100.0,0.0
52,2017-03-30,99.959999,100.589996,99.93,100.410004,100.410004,0.0
53,2017-03-31,100.489998,100.650002,100.25,100.349998,100.349998,0.0
55,2017-04-03,100.5,100.690002,100.370003,100.540001,100.540001,0.0
56,2017-04-04,100.5,100.730003,100.419998,100.540001,100.540001,0.0
57,2017-04-05,100.529999,100.849998,100.410004,100.559998,100.559998,0.0
58,2017-04-06,100.519997,100.769997,100.379997,100.669998,100.669998,0.0
59,2017-04-07,100.739998,101.260002,100.519997,101.18,101.18,0.0
61,2017-04-10,101.129997,101.339996,100.940002,101.019997,101.019997,0.0
62,2017-04-11,100.959999,101.080002,100.580002,100.709999,100.709999,0.0
63,2017-04-12,100.739998,100.82,100.089996,100.779999,100.779999,0.0
64,2017-04-13,100.160004,100.599998,100.010002,100.559998,100.559998,0.0
66,2017-04-17,100.470001,100.470001,100.0,100.300003,100.300003,0.0
67,2017-04-18,100.349998,100.400002,99.470001,99.5,99.5,0.0
68,2017-04-19,99.510002,99.889999,99.510002,99.739998,99.739998,0.0
69,2017-04-20,99.779999,99.849998,99.370003,99.779999,99.779999,0.0
70,2017-04-21,99.839996,100.029999,99.650002,99.980003,99.980003,0.0
72,2017-04-24,98.790001,99.330002,98.790001,99.089996,99.089996,0.0
73,2017-04-25,99.050003,99.220001,98.699997,98.82,98.82,0.0
74,2017-04-26,98.849998,99.330002,98.730003,98.959999,98.959999,0.0
75,2017-04-27,98.949997,99.330002,98.809998,99.080002,99.080002,0.0
76,2017-04-28,99.169998,99.25,98.720001,99.050003,99.050003,0.0
